CMD                             PID
/opt/microsoft/msedge/msedg   42289
/opt/microsoft/msedge/msedg   42289
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42386
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42455
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42481
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
/opt/microsoft/msedge/msedg   42512
